Dataset,Filename,Score R,Score D,GT,Our,covid_net_pred_time,lung_segment_1,lung_segment_2,lung_segment_3,lung_segment_4,lung_segment_5,lung_segment_6,BSNet,CovidNet,Subset,Label
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200327160432430120.1203801020003.png,3.0,4.0,3.5,1,0.0820002555847168,0.647703632581213,0.0655429947353385,0.0,0.3718187898201274,0.3282152415833216,0.0,6,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200327151518468570.1003000225002.png,1.0,5.0,3.0,4,0.0829968452453613,0.0907424064208122,0.458810186617177,0.5757638888888889,0.6814442013129103,0.8899630866584637,0.6766864425401011,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.202003211812003285.1003000225002.png,2.0,4.0,3.0,4,0.0729982852935791,0.5417706476530006,0.5148865879698642,0.0195102685624012,0.5985526646030286,0.5607623133404834,0.0,6,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202003241226081857.1203801020003.png.bmp,6.0,6.0,6.0,3,0.0810005664825439,0.6744454332707077,0.0,0.0,0.6096556886227545,0.5520211813842482,0.0,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200322102521497410.1203801020003.png,1.0,4.0,2.5,1,0.0789980888366699,0.5341682974559687,0.0267839532957279,0.0,0.0657829819425714,0.0,0.0,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.202003281918584533.1203801020003.png.bmp,5.0,5.0,5.0,4,0.0750012397766113,0.9099777034559644,0.8287858930060765,0.6611197573726006,0.23638329032708,0.6194074022492253,0.1681680624956013,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,DX.1.2.840.113564.1722810162.20200401122015054240.1203801020003.png,3.0,,3.0,0,0.0769994258880615,0.4181934464467101,0.4228801444586562,0.1099950725846188,0.281342918438782,0.3460010694370178,0.0,4,3,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200324165957625920.1003000225002.png,3.0,5.0,4.0,3,0.0770008563995361,0.7951489586079621,0.8742164026855596,0.1844507042253521,0.4615573770491803,0.5123136479696895,0.0156683531907948,5,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200321001546031810.1003000225002.png,4.0,6.0,5.0,4,0.0709993839263916,0.662732157211152,0.7227263045793397,0.5961019490254873,0.3412907996197317,0.6201837426206029,0.4522680631236289,6,4,train,COVID-19
Actualmed-COVID-chestxray-dataset,CR.1.2.840.113564.1722810170.20200320072856343530.1003000225002.png,5.0,6.0,5.5,3,0.0789992809295654,0.623988318731748,0.7324203982189365,0.3499082262639746,0.1924526820073824,0.5707428391564369,0.3967280163599182,6,4,train,COVID-19
