Threshold,MAE,MSE,RMSE,R2
0.0,0.5720263000597728,1.8661087866108788,1.3660559236762158,0.5161856043128357
0.01,0.5615660490137477,1.8251643753735804,1.3509864452960216,0.5268010066525445
0.02,0.5552898983861327,1.7997609085475195,1.3415516794173528,0.5333872051844806
0.03,0.5463239689181112,1.7668858338314406,1.3292425790018316,0.541910520931692
0.04,0.541243275552899,1.7552301255230125,1.324850982383684,0.5449324237875215
0.05,0.537059175134489,1.7396891811117752,1.3189727749698912,0.5489616275952942
0.06,0.5334728033472803,1.7256425582785415,1.3136371486367693,0.5526034079600117
0.07,0.5298864315600718,1.70412432755529,1.30542113034656,0.5581823055400047
0.08,0.525403466826061,1.6897788404064555,1.2999149358348243,0.5619015705933333
0.09,0.5209205020920502,1.675433353257621,1.2943853186967245,0.5656208356466619
0.1,0.5155409444112373,1.656604901374776,1.2870916445128435,0.5705023710291557
0.11,0.5104602510460251,1.6485355648535565,1.2839531007219682,0.5725944576216531
0.12,0.5080693365212193,1.6398684997011357,1.2805735042164255,0.5748415135913725
0.13,0.50418410041841,1.6252241482367005,1.2748427935383642,0.578638263333312
0.14,0.5005977286312014,1.6177525403466826,1.2719090141777762,0.5805753805485874
0.15,0.5002988643156007,1.6150627615062763,1.2708511956583572,0.5812727427460865
0.16,0.49731022115959356,1.605797967722654,1.267200839536754,0.5836747680930279
0.17,0.49731022115959356,1.604602510460251,1.2667290596099274,0.583984706847472
0.18,0.49611476389719067,1.6034070531978482,1.2662571039081472,0.584294645601916
0.19,0.49372384937238495,1.601613867304244,1.26554884034724,0.5847595537335821
0.2,0.4913329348475792,1.5965331739390316,1.2635399376114043,0.5860767934399693
0.21,0.4871488344291692,1.5851763299462045,1.2590378588216498,0.5890212116071878
0.22,0.4826658696951584,1.576210400478183,1.2554721822797121,0.5913457522655182
0.23,0.4805738194859534,1.5714285714285714,1.2535663410560174,0.5925855072832944
0.24,0.47728631201434546,1.5621637776449493,1.249865503822291,0.5949875326302358
0.25,0.4757919904363419,1.557083084279737,1.2478313524991016,0.596304772336623
0.26,0.47489539748953974,1.5582785415421399,1.2483102745480148,0.595994833582179
0.27,0.47519426180514046,1.5555887627017335,1.247232441328293,0.596692195779678
0.28,0.4757919904363419,1.5585774058577406,1.248429976353396,0.595917348893568
0.29,0.4734010759115362,1.5502092050209204,1.2450739757222944,0.5980869201746764
0.3,0.472504482964734,1.5439330543933054,1.2425510268770878,0.5997140986355076
