Threshold,MAE,MSE,RMSE,R2
0.0,0.4909952606635071,0.9777251184834124,0.988799837420806,0.7973152239900684
0.01,0.47488151658767774,0.904739336492891,0.9511778679578762,0.8124453526888223
0.02,0.46824644549763034,0.885781990521327,0.9411599176130095,0.8163752562469402
0.03,0.45781990521327015,0.8478672985781991,0.9207970995709093,0.8242350633631761
0.04,0.45023696682464454,0.8251184834123223,0.9083603268595135,0.8289509476329175
0.05,0.44454976303317534,0.8004739336492891,0.8946920887373986,0.8340598222584709
0.06,0.43601895734597157,0.7786729857819905,0.882424492963557,0.8385792113503066
0.07,0.4246445497630332,0.7407582938388626,0.8606731631919649,0.8464390184665423
0.08,0.414218009478673,0.7123222748815166,0.8439918689664709,0.8523338738037192
0.09,0.41232227488151657,0.704739336492891,0.8394875439772117,0.8539058352269664
0.1,0.3990521327014218,0.6781990521327014,0.8235284161051769,0.8594077002083315
0.11,0.385781990521327,0.6270142180094787,0.7918422936478442,0.8700184398152498
0.12,0.3819905213270142,0.6165876777251185,0.78523097094111,0.8721798867722147
0.13,0.381042654028436,0.6099526066350711,0.7809946265084486,0.8735553530175559
0.14,0.3744075829383886,0.5919431279620853,0.769378403623396,0.877288761397768
0.15,0.36113744075829385,0.5616113744075829,0.7494073487814107,0.8835766070907567
0.16,0.35545023696682465,0.5436018957345972,0.7372936292513297,0.8873100154709687
0.17,0.3412322274881517,0.514218009478673,0.7170899591255431,0.8934013659860515
0.18,0.3298578199052133,0.4924170616113744,0.7017243487377179,0.897920755077887
0.19,0.32606635071090045,0.4829383886255924,0.6949376868652271,0.899885706856946
0.2,0.3241706161137441,0.4781990521327014,0.6915193794339399,0.9008681827464755
0.21,0.3222748815165877,0.4781990521327014,0.6915193794339399,0.9008681827464755
0.22,0.32037914691943126,0.46492890995260666,0.6818569571050856,0.903619115237158
0.23,0.3137440758293839,0.44597156398104265,0.667811024153572,0.9075490187952759
0.24,0.30995260663507107,0.43364928909952605,0.6585205305072318,0.9101034561080527
0.25,0.3033175355450237,0.41184834123222747,0.6417541127505358,0.9146228451998882
0.26,0.2957345971563981,0.3966824644549763,0.6298273290791503,0.9177667680463826
0.27,0.2919431279620853,0.3919431279620853,0.6260536142872153,0.9187492439359121
0.28,0.28720379146919434,0.38341232227488153,0.6192029734060404,0.920517700537065
0.29,0.2824644549763033,0.3748815165876777,0.6122756867520364,0.9222861571382182
0.3,0.2796208530805687,0.37203791469194314,0.6099491082803082,0.9228756426719359
0.31,0.28151658767772514,0.3796208530805687,0.6161337947885741,0.9213036812486887
0.32,0.2862559241706161,0.3853080568720379,0.6207318719640855,0.9201247101812533
0.33,0.2900473933649289,0.3928909952606635,0.6268101748222212,0.9185527487580061
0.34,0.29289099526066353,0.4052132701421801,0.6365636418632312,0.9159983114452295
0.35000000000000003,0.2919431279620853,0.4080568720379147,0.6387932936701157,0.9154088259115118
0.36,0.3042654028436019,0.4308056872037915,0.6563578956665269,0.9106929416417703
0.37,0.3090047393364929,0.43554502369668247,0.65995834997118,0.9097104657522408
0.38,0.3222748815165877,0.46303317535545024,0.6804654108442619,0.9040121055929699
0.39,0.3298578199052133,0.4895734597156398,0.6996952620360094,0.8985102406116048
0.4,0.34218009478672984,0.5161137440758294,0.7184105679037784,0.8930083756302396
0.41000000000000003,0.36018957345971564,0.5530805687203791,0.7436938676097707,0.8853450636919097
0.42,0.38388625592417064,0.6052132701421801,0.7779545424651624,0.8745378289070854
0.43,0.395260663507109,0.6308056872037915,0.7942327663876576,0.8692324591036262
0.44,0.41137440758293836,0.6744075829383887,0.8212232235746799,0.8601936809199551
0.45,0.418957345971564,0.6981042654028436,0.8355263403405326,0.8552813014723076
0.46,0.43601895734597157,0.7502369668246446,0.86616220583944,0.8444740666874834
0.47000000000000003,0.46161137440758293,0.8270142180094787,0.9094032208044344,0.8285579572771058
0.48,0.48530805687203793,0.895260663507109,0.946182151336152,0.8144103044678813
0.49,0.5033175355450237,0.9388625592417061,0.968949203643672,0.80537152628421
0.5,0.5203791469194313,0.9938388625592417,0.99691467165412,0.7939748059656682
0.51,0.5421800947867299,1.0478672985781992,1.0236538958936263,0.782774580825032
0.52,0.5592417061611374,1.128436018957346,1.0622786917552973,0.766072490703031
0.53,0.5772511848341232,1.175829383886256,1.0843566682075856,0.7562477318077361
0.54,0.6085308056872037,1.2781990521327014,1.1305746557095206,0.7350262525938993
0.55,0.637914691943128,1.3758293838862559,1.1729575371198464,0.714787249269592
0.56,0.6663507109004739,1.4867298578199053,1.2193153233761582,0.6917973134546023
0.5700000000000001,0.6853080568720379,1.561611374407583,1.2496444992107087,0.6762741944000364
0.58,0.7222748815165877,1.6886255924170617,1.299471274179257,0.6499438405606464
0.59,0.7421800947867299,1.762559241706161,1.3276141162650241,0.6346172166839865
0.6,0.7687203791469195,1.8867298578199052,1.3735828543702433,0.6088763483783142
0.61,0.7971563981042654,2.0279620853080567,1.4240653374434955,0.5795985668703356
0.62,0.8312796208530806,2.2052132701421803,1.4849960505476707,0.5428539686019331
0.63,0.8644549763033176,2.365402843601896,1.5379866200984635,0.5096462835358366
0.64,0.8862559241706162,2.495260663507109,1.5796394093295814,0.4827264441627289
0.65,0.9222748815165877,2.666824644549763,1.633041531789612,0.4471608169617618
0.66,0.9554502369668246,2.8232227488151658,1.6802448478763938,0.414739112607289
0.67,0.985781990521327,2.9919431279620854,1.729723425279916,0.3797629709400395
0.68,1.0075829383886257,3.115165876777251,1.7649832511322172,0.35421859781227305
0.6900000000000001,1.0369668246445498,3.281042654028436,1.8113648594439598,0.3198319416787412
0.7000000000000001,1.0540284360189573,3.390995260663507,1.8414655198139083,0.2970385010416573
0.71,1.0796208530805687,3.5473933649289098,1.8834525119919827,0.2646167966871845
0.72,1.1118483412322275,3.733175355450237,1.9321426850650127,0.22610374181762882
0.73,1.1383886255924172,3.9170616113744074,1.9791567930243443,0.1879836773038851
0.74,1.1687203791469194,4.132227488151659,2.0327881070469838,0.1433792719192467
0.75,1.1933649289099526,4.315165876777251,2.077297734263736,0.10545570258340875
0.76,1.2255924170616115,4.535071090047393,2.129570635139251,0.05986882130924087
0.77,1.2559241706161137,4.760663507109005,2.1818944766209487,0.01310296896763763
0.78,1.2777251184834124,4.940758293838862,2.2227816568072676,-0.02423111483448248
0.79,1.3052132701421801,5.14170616113744,2.2675330562391895,-0.06588809255053252
0.8,1.333649289099526,5.341706161137441,2.3112131362419697,-0.10734857508867646
0.81,1.3545023696682466,5.498104265402843,2.3448036731041775,-0.13977027944314946
0.8200000000000001,1.375355450236967,5.6639810426540285,2.3799119821232946,-0.17415693557668122
