Threshold,MAE,MSE,RMSE,R2
0.0,0.9583333333333334,3.184848484848485,1.7846143798727179,0.33596198864383553
0.01,0.9075757575757576,2.9287878787878787,1.7113701758497133,0.3893503920307013
0.02,0.8795454545454545,2.778787878787879,1.6669696694264953,0.42062525555318475
0.03,0.8628787878787879,2.7015151515151516,1.6436286537765006,0.436736548882949
0.04,0.8454545454545455,2.596212121212121,1.6112765501961857,0.4586921348911571
0.05,0.8303030303030303,2.525,1.5890248582070703,0.47353979737152807
0.06,0.818939393939394,2.459848484848485,1.568390412125911,0.4871238290025057
0.07,0.8037878787878788,2.4045454545454548,1.550659683665457,0.4986544605032194
0.08,0.7924242424242425,2.331818181818182,1.5270292013639366,0.5138180306959386
0.09,0.7803030303030303,2.265909090909091,1.5052936892543898,0.5275600161830905
0.1,0.771969696969697,2.1954545454545453,1.4817066327227348,0.5422497248072873
0.11,0.7583333333333333,2.1356060606060607,1.461371294574401,0.5547280794450458
0.12,0.7454545454545455,2.077272727272727,1.4412746883480356,0.566890526370456
0.13,0.7356060606060606,2.0348484848484847,1.4264811547470526,0.575735942316209
0.14,0.7219696969696969,1.9643939393939394,1.4015683855573866,0.5904256509404058
0.15,0.7090909090909091,1.9053030303030303,1.3803271461153803,0.6027460517219901
0.16,0.6916666666666667,1.815909090909091,1.3475567115743556,0.6213846067505409
0.17,0.678030303030303,1.7621212121212122,1.3274491373010162,0.6325993305389062
0.18,0.668939393939394,1.7401515151515152,1.3191480262470605,0.6371799923679567
0.19,0.6613636363636364,1.6984848484848485,1.303259317436422,0.6458674544575356
0.2,0.656060606060606,1.6719696969696969,1.2930466723864598,0.6513958394236311
0.21,0.6439393939393939,1.6227272727272728,1.2738631295108878,0.6616628400749514
0.22,0.6295454545454545,1.5643939393939394,1.2507573463281914,0.6738252870003616
0.23,0.6265151515151515,1.5522727272727272,1.2459023746958375,0.6763525486991482
0.24,0.6151515151515151,1.5015151515151515,1.2253632732847641,0.6869354570628168
0.25,0.6075757575757575,1.4704545454545455,1.2126230021958784,0.6934115651659574
0.26,0.5969696969696969,1.4295454545454545,1.195636004202556,0.701941073399362
0.27,0.5901515151515152,1.3909090909090909,1.1793680896603447,0.7099967200642441
0.28,0.578030303030303,1.3462121212121212,1.160263815350682,0.7193159975785195
