Threshold,MAE,MSE,RMSE,R2
0.0,0.49318181818181817,0.9916666666666667,0.9958246164193104,0.7932384022680259
0.01,0.4765151515151515,0.9159090909090909,0.9570313949443304,0.8090337878854418
0.02,0.4681818181818182,0.8909090909090909,0.9438798074485389,0.8142462651391891
0.03,0.4590909090909091,0.8598484848484849,0.9272801544562921,0.8207223732423296
0.04,0.45075757575757575,0.8386363636363636,0.9157709122025899,0.825145081215206
0.05,0.4462121212121212,0.818939393939394,0.9049527025979833,0.8292518814757341
0.06,0.43863636363636366,0.8007575757575758,0.894850588510493,0.8330427740239139
0.07,0.42803030303030304,0.7628787878787879,0.873429326207214,0.8409404668326219
0.08,0.4174242424242424,0.7333333333333333,0.8563488385776752,0.847100667223414
0.09,0.4159090909090909,0.7272727272727273,0.8528028654224418,0.8483642980728073
0.1,0.4037878787878788,0.7022727272727273,0.838017140202232,0.8535767753265546
0.11,0.39166666666666666,0.6583333333333333,0.811377429642539,0.8627380989846558
0.12,0.3856060606060606,0.6393939393939394,0.7996211224035664,0.8666869453890098
0.13,0.3856060606060606,0.6348484848484849,0.7967737977923752,0.8676346685260548
0.14,0.3803030303030303,0.6204545454545455,0.7876893711702256,0.8706357917933638
0.15,0.36666666666666664,0.5886363636363636,0.7672264096317094,0.8772698537526784
0.16,0.3613636363636364,0.5704545454545454,0.7552844136181717,0.8810607463008583
0.17,0.34924242424242424,0.5446969696969697,0.7380358864560514,0.8864311774107797
0.18,0.3409090909090909,0.5280303030303031,0.7266569362706883,0.8899061622466111
0.19,0.3371212121212121,0.5196969696969697,0.720900110762212,0.8916436546645269
0.2,0.3340909090909091,0.5136363636363637,0.716684284490991,0.8929072855139202
0.21,0.33181818181818185,0.5083333333333333,0.7129749878735813,0.8940129625071394
0.22,0.3287878787878788,0.4946969696969697,0.7033469767454537,0.8968561319182742
0.23,0.32196969696969696,0.475,0.689202437604511,0.9009629321788023
0.24,0.31742424242424244,0.4590909090909091,0.6775624761532394,0.9042799631584596
0.25,0.3106060606060606,0.43712121212121213,0.6611514290396808,0.9088606249875103
0.26,0.30454545454545456,0.425,0.6519202405202649,0.9113878866862968
0.27,0.3015151515151515,0.41439393939393937,0.6437343702133197,0.913599240672735
0.28,0.29772727272727273,0.4075757575757576,0.6384166018954689,0.9150208253783024
0.29,0.2924242424242424,0.3977272727272727,0.6306562238868912,0.9170742255085665
0.3,0.29015151515151516,0.396969696969697,0.630055312627151,0.9172321793647407
0.31,0.29015151515151516,0.3984848484848485,0.6312565631221971,0.9169162716523924
0.32,0.2962121212121212,0.4090909090909091,0.6396021490668313,0.9147049176659542
0.33,0.29924242424242425,0.41363636363636364,0.6431456783935997,0.9137571945289091
0.34,0.30303030303030304,0.4287878787878788,0.6548189664234526,0.9105981174054261
0.35000000000000003,0.3015151515151515,0.43106060606060603,0.6565520589112535,0.9101242558369035
0.36,0.31287878787878787,0.4590909090909091,0.6775624761532394,0.9042799631584596
0.37,0.31893939393939397,0.4636363636363636,0.6809084840390547,0.9033322400214147
0.38,0.33106060606060606,0.48787878787878786,0.698483205151554,0.8982777166238416
0.39,0.3393939393939394,0.5181818181818182,0.7198484689028783,0.8919595623768752
0.4,0.3515151515151515,0.543939393939394,0.7375224701250762,0.8865891312669538
0.41000000000000003,0.3696969696969697,0.5833333333333334,0.7637626158259734,0.8783755307458976
0.42,0.3886363636363636,0.6303030303030303,0.793916261518197,0.8685823916630997
0.43,0.39924242424242423,0.6553030303030303,0.8095078939102635,0.8633699144093525
0.44,0.41818181818181815,0.7053030303030303,0.8398232137200248,0.8529449599018579
0.45,0.425,0.7242424242424242,0.8510243382197857,0.848996113497504
0.46,0.44166666666666665,0.7757575757575758,0.8807710121010884,0.8382552512776612
0.47000000000000003,0.47045454545454546,0.8583333333333333,0.9264628073124864,0.8210382809546779
0.48,0.49393939393939396,0.9234848484848485,0.9609811904948236,0.8074542493237002
0.49,0.5128787878787879,0.968939393939394,0.984347191766906,0.7979770179532506
0.5,0.5295454545454545,1.0212121212121212,1.0105504050823597,0.7870782018772337
0.51,0.5492424242424242,1.0742424242424242,1.0364566678074025,0.7760214319450425
0.52,0.5696969696969697,1.1606060606060606,1.0773142812596799,0.7580146923411883
0.53,0.5856060606060606,1.2045454545454546,1.0975178606954215,0.7488533686830872
0.54,0.615909090909091,1.3015151515151515,1.1408396695045064,0.7286352750927949
0.55,0.6416666666666667,1.387878787878788,1.1780826744667745,0.7106285354889408
0.56,0.668939393939394,1.496969696969697,1.2235071299218885,0.6878831801998618
0.5700000000000001,0.6916666666666667,1.584090909090909,1.2586067332931716,0.6697184867398336
0.58,0.728030303030303,1.7174242424242425,1.3105053385714391,0.6419186080531816
0.59,0.7477272727272727,1.7954545454545454,1.3399457248166977,0.6256493608672431
0.6,0.7712121212121212,1.906060606060606,1.3806015377583085,0.602588097865816
0.61,0.7984848484848485,2.0454545454545454,1.4301938838683885,0.5735245883297707
0.62,0.8348484848484848,2.2204545454545452,1.4901189702351103,0.53703724755354
0.63,0.865909090909091,2.3772727272727274,1.5418406945183174,0.504340799325489
0.64,0.8878787878787879,2.5015151515151515,1.5816178904890876,0.478436366912927
0.65,0.9234848484848485,2.6704545454545454,1.634152546567959,0.44321265698608947
0.66,0.956060606060606,2.8287878787878786,1.6819000799060206,0.4102003010456903
0.67,0.9856060606060606,2.9946969696969696,1.730519277470485,0.37560840654354943
0.68,1.0083333333333333,3.125,1.7677669529663689,0.3484403432815941
0.6900000000000001,1.040151515151515,3.3106060606060606,1.8195070927605808,0.30974164851892516
0.7000000000000001,1.0606060606060606,3.440151515151515,1.8547645443968124,0.28273153911314397
0.71,1.0818181818181818,3.5674242424242424,1.8887626220423366,0.25619529127588525
0.72,1.1166666666666667,3.771969696969697,1.9421559404357047,0.2135477501088623
0.73,1.1424242424242423,3.9484848484848483,1.9870794771434908,0.17674450162028332
0.74,1.1704545454545454,4.140909090909091,2.034922379578418,0.13662422215204695
0.75,1.1939393939393939,4.3136363636363635,2.076929551919459,0.1006107429443387
0.76,1.2227272727272727,4.501515151515152,2.121677438140669,0.06143818661314726
0.77,1.2553030303030304,4.748484848484848,2.179101844449875,0.009945229500371355
0.78,1.2757575757575759,4.918939393939394,2.2178682093261073,-0.025594388138814317
