Threshold,MAE,MSE,RMSE,R2
0.0,1.6722532588454375,7.5072625698324025,2.7399384244600102,-0.9226809805918852
0.01,1.5549348230912476,6.774301675977654,2.6027488691722938,-0.7349627601322519
0.02,1.4919925512104284,6.400372439478585,2.529895736879009,-0.6391959444099593
0.03,1.440223463687151,6.0957169459962754,2.4689505758512613,-0.561170789767693
0.04,1.4014897579143388,5.8640595903165735,2.421582042863007,-0.501841148951691
0.05,1.3512104283054003,5.571694599627561,2.360443729392328,-0.4269637083720099
0.06,1.312849162011173,5.356052141527002,2.314314615934273,-0.37173563436483126
0.07,1.2819366852886407,5.17877094972067,2.275691312485213,-0.32633224364390356
0.08,1.2472998137802607,4.977653631284916,2.231065582022392,-0.27482419534705294
0.09,1.215270018621974,4.7936685288640595,2.189444799227434,-0.22770386968289702
0.1,1.1832402234636872,4.62122905027933,2.149704409978109,-0.18354048753207874
0.11,1.150093109869646,4.436126629422719,2.106211439866074,-0.13613400604405146
0.12,1.1229050279329609,4.293482309124768,2.072071984542228,-0.09960144586313713
0.13,1.0960893854748603,4.153072625698324,2.03790888552416,-0.06364119732996532
0.14,1.067783985102421,4.000372439478585,2.000093107702385,-0.02453323473420843
0.15,1.0346368715083798,3.8115456238361265,1.9523180129876707,0.023827099500056903
0.16,1.0059590316573557,3.6610800744878955,1.9133949081378616,0.06236275044807105
0.17,0.9798882681564246,3.5206703910614525,1.8763449552418268,0.09832299898124264
0.18,0.957169459962756,3.408193668528864,1.8461293748079695,0.12712935191762953
0.19,0.9266294227188082,3.2636871508379888,1.8065677819661206,0.16413883847166288
0.2,0.9024208566108007,3.1445065176908753,1.7732756462803168,0.1946621263512781
0.21,0.8767225325884543,3.0115456238361267,1.7353805415055588,0.22871466939197382
0.22,0.8554934823091248,2.9150837988826814,1.7073616485333978,0.2534194555195374
0.23,0.8357541899441341,2.822346368715084,1.679984038232234,0.2771703889008629
0.24,0.8171322160148976,2.751582867783985,1.6587895791160447,0.29529359107938447
0.25,0.7992551210428306,2.659590316573557,1.6308250416809147,0.3188537539114624
0.26,0.7798882681564245,2.5761638733705774,1.60504326214921,0.340220055427193
0.27,0.7620111731843575,2.495716945996276,1.5797838288817478,0.36082327474593323
0.28,0.7482309124767226,2.4424581005586594,1.5628365559324044,0.3744633690171363
0.29,0.7359404096834264,2.398510242085661,1.5487124465457303,0.38571883142274443
0.3,0.7195530726256983,2.3206703910614523,1.5233746719246228,0.4056543538191181
0.31,0.7024208566108008,2.266294227188082,1.5054216111070287,0.4195806039141925
0.32,0.6931098696461825,2.2283054003724394,1.4927509505515109,0.42930990192581986
0.33,0.6834264432029795,2.195903165735568,1.4818580113275253,0.43760842081809026
0.34,0.6741154562383612,2.1582867783985105,1.4691108802260333,0.4472423335550938
0.35000000000000003,0.6640595903165736,2.127001862197393,1.4584244451453057,0.4552546966234927
0.36,0.6513966480446928,2.0685288640595902,1.4382381110440616,0.4702301847394289
0.37,0.6458100558659218,2.0540037243947857,1.4331795855351783,0.47395021044975705
0.38,0.6379888268156425,2.039851024208566,1.4282335327979685,0.47757485088546137
0.39,0.6361266294227188,2.0409683426443204,1.4286246332204693,0.47728869506159
0.4,0.638733705772812,2.038733705772812,1.4278423252491192,0.47786100670933274
0.41000000000000003,0.6309124767225326,2.014897579143389,1.41947087999134,0.4839656642852558
0.42,0.6264432029795158,2.0070763500931097,1.4167132208365636,0.4859687550523555
0.43,0.6249534450651769,2.003724394785847,1.4155297223251255,0.4868272225239697
0.44,0.6242085661080075,2.0022346368715085,1.4150034052508527,0.4872087636224649
0.45,0.6245810055865921,2.0119180633147113,1.4184209753506578,0.4847287464822462
0.46,0.6242085661080075,2.0156424581005585,1.419733234836939,0.48377489373600824
0.47000000000000003,0.6268156424581005,2.0294227188081937,1.4245780844896476,0.48024563857492764
0.48,0.6279329608938548,2.0312849162011175,1.4252315307349601,0.4797687122018087
0.49,0.6305400372439478,2.0521415270018624,1.4325297647874065,0.47442713682287607
0.5,0.631657355679702,2.0662942271880818,1.4374610350155868,0.47080249638717175
0.51,0.6376163873370577,2.0942271880819368,1.4471444945415564,0.46364860079038694
0.52,0.6391061452513966,2.102420856610801,1.4499727089193095,0.4615501247486634
0.53,0.6391061452513966,2.111731843575419,1.4531799075047174,0.4591654928830684
0.54,0.6465549348230912,2.1378026070763503,1.462122637495347,0.4524885236594026
0.55,0.6506517690875233,2.16536312849162,1.4715172878670573,0.44543001333724164
0.56,0.6581005586592179,2.205959031657356,1.48524712814311,0.4350330184032477
0.5700000000000001,0.6644320297951583,2.2383612662942274,1.496115392038404,0.4267344995109773
0.58,0.6715083798882682,2.2752327746741154,1.5083874749791963,0.4172913573232213
0.59,0.6748603351955307,2.305772811918063,1.5184771357903495,0.40946976480406994
0.6,0.6815642458100558,2.3456238361266295,1.5315429592821188,0.39926354041932366
0.61,0.6901303538175046,2.3854748603351954,1.5444982552062645,0.38905731603457727
0.62,0.7039106145251397,2.4472998137802606,1.5643848036145904,0.373223360447027
0.63,0.7169459962756052,2.507635009310987,1.5835513914335042,0.35777094595797176
