Threshold,MAE,MSE,RMSE,R2
0.0,1.3670053795576809,6.139569635385535,2.4778154966392343,-0.5917679581360371
0.01,1.3239689181111776,5.878063359234908,2.4244717691148536,-0.5239688556014008
0.02,1.297071129707113,5.7154811715481175,2.3907072534185607,-0.4818171849970099
0.03,1.2794381350866706,5.603407053197849,2.367151675156843,-0.45276042676788
0.04,1.2635983263598327,5.494620442319187,2.344060673770879,-0.4245560001134714
0.05,1.2471607890017933,5.395995218170951,2.3229281560502364,-0.39898605287183697
0.06,1.230424387328153,5.28332337118948,2.2985481006908426,-0.36977432526548526
0.07,1.2139868499701136,5.184698147041243,2.276993225075833,-0.34420437802385107
0.08,1.1978481769276748,5.084279736999402,2.254834747159845,-0.31816952265055076
0.09,1.184997011356844,5.005080693365212,2.237203766616982,-0.2976360801686322
0.1,1.1715481171548117,4.911237298266587,2.2161311554749163,-0.2733058879447743
0.11,1.157501494321578,4.82904961147639,2.1975098660703187,-0.25199759857674575
0.12,1.1434548714883443,4.750149432157801,2.179483753588863,-0.2315416407834383
0.13,1.1317991631799162,4.689479976090855,2.1655207170772703,-0.21581224899540263
0.14,1.1195457262402868,4.606694560669456,2.146321169040052,-0.19434899025015206
0.15,1.1049013747758518,4.526598924088463,2.1275805329266535,-0.17358309370240077
0.16,1.0884638374178124,4.432456664674238,2.105340035403839,-0.14917541678993174
0.17,1.0732217573221758,4.34608487746563,2.084726571391469,-0.12678234178134895
0.18,1.0594739988045427,4.289898386132696,2.071206987756824,-0.11221522032247844
0.19,1.0472205618649133,4.225343693962941,2.055564081697027,-0.09547852758249964
0.2,1.0343693962940825,4.141362821279139,2.0350338624404114,-0.07370533008280522
0.21,1.0218170950388523,4.071727435744172,2.017852183819264,-0.055651397636439226
0.22,1.0053795576808129,3.9823670053795577,1.995586882443247,-0.03248347574174626
0.23,0.9940227136879857,3.916317991631799,1.9789689213405548,-0.015359359558712482
0.24,0.9799760908547519,3.835923490735206,1.9585513755669535,0.005484021677650053
0.25,0.968320382546324,3.771966527196653,1.9421551243905963,0.022065745040406815
0.26,0.9560669456066946,3.705319784817693,1.9249207216967905,0.03934483060066263
0.27,0.9500896592946803,3.6715481171548117,1.9161284187535061,0.04810060041370712
0.28,0.9339509862522415,3.593843395098625,1.8957434940145845,0.06824661945257049
0.29,0.9258816497310222,3.5448296473401077,1.8827717990611894,0.08095410838477657
0.3,0.9163179916317992,3.502092050209205,1.8713877337978906,0.09203441885615138
0.31,0.9064554692169755,3.4441123729826657,1.8558319894275628,0.10706644844668789
0.32,0.8968918111177525,3.3873281530185295,1.8404695468870245,0.12178853928278033
0.33,0.8876270173341303,3.329647340107591,1.8247321283157127,0.13674308418470582
0.34,0.8798565451285116,3.2857142857142856,1.8126539343499315,0.1481333334105247
0.35000000000000003,0.8664076509264794,3.2193664076509263,1.7942592922013603,0.1653349342821695
0.36,0.856246264196055,3.1673640167364017,1.7797089696735255,0.17881727010048576
0.37,0.8436939629408249,3.1123729826658697,1.764191878075021,0.1930744528049121
0.38,0.8368200836820083,3.0756126718469816,1.7537424759202764,0.20260506950406676
0.39,0.824566646742379,3.018828451882845,1.7374776119083795,0.2173271603401592
0.4,0.8156007172743575,2.9689181111775254,1.7230548775873407,0.23026710333819833
0.41000000000000003,0.8081291093843395,2.918708906156605,1.7084229295337279,0.24328453102484848
0.42,0.803347280334728,2.8852361028093245,1.6985982758761191,0.25196281614928195
0.43,0.7919904363419008,2.822474596533174,1.6800222012024646,0.26823460075759464
0.44,0.7818290496114764,2.7752540346682606,1.6659093716851048,0.2804771815581346
0.45,0.7785415421398685,2.7552301255230125,1.659888588286278,0.2856686556950725
0.46,0.7722653915122535,2.7202630005977286,1.649321982087709,0.29473436426256105
0.47000000000000003,0.7689778840406456,2.6802151823072324,1.6371362748125864,0.3051173125364367
0.48,0.7665869695158398,2.6548117154811717,1.629359296006001,0.3117035110683728
0.49,0.7638971906754334,2.620442319187089,1.6187780327108128,0.3206142502586393
0.5,0.7624028690974297,2.5965331739390316,1.61137617393923,0.3268130253475203
0.51,0.7576210400478183,2.5705319784817693,1.6032878651326996,0.33355419325667846
0.52,0.7597130902570233,2.5741183502689777,1.6044059181731343,0.33262437699334624
0.53,0.7603108188882247,2.567543335325762,1.6023555583345919,0.3343290401427885
0.54,0.7534369396294083,2.5301852958756723,1.590655618251692,0.34401462621916523
0.55,0.7534369396294083,2.5185295875672447,1.5869875826758206,0.3470365290749947
0.56,0.7516437537358039,2.5047818290496116,1.5826502548098274,0.3506008247511013
0.5700000000000001,0.7552301255230126,2.5,1.5811388300841898,0.3518405797688775
0.58,0.7573221757322176,2.5164375373580397,1.5863283195347802,0.34757892189527173
0.59,0.7606096832038255,2.533771667662881,1.5917825440878792,0.343084809955833
0.6,0.7591153616258218,2.522414823670054,1.5882112024759345,0.3460292281230515
0.61,0.7680812910938434,2.5469216975493127,1.5959077973207954,0.33967548365694844
0.62,0.7710699342498506,2.5606694560669454,1.600209191345602,0.33611118798084183
0.63,0.7752540346682606,2.5747160789001793,1.6045921846064748,0.3324694076161243
0.64,0.7776449491930664,2.590854751942618,1.6096132305441013,0.32828523443112956
0.65,0.7821279139270771,2.619545726240287,1.618501073907672,0.3208467043244724
0.66,0.7904961147638971,2.658696951583981,1.6305511189729627,0.31069621011642967
0.67,0.8000597728631201,2.72086072922893,1.6495031764834314,0.294579394885339
0.68,0.8123132098027496,2.7895995218170953,1.6702094245384604,0.2767579165048061
0.6900000000000001,0.8275552898983861,2.881948595337717,1.697630288177528,0.25281514772400304
0.7000000000000001,0.8401075911536162,2.947399880454274,1.7167993128069086,0.2358460009181912
0.71,0.8556485355648535,3.041243275552899,1.7439160746873397,0.21151580869433317
0.72,0.8655110579796772,3.1028093245666466,1.7614793000676012,0.19555396284046456
0.73,0.8792588164973102,3.2002390914524805,1.7889212088441684,0.17029395435327432
0.74,0.8959952181709504,3.307531380753138,1.8186619753965105,0.14247695114192072
0.75,0.9118350268977884,3.4073520621637776,1.8459014226560901,0.11659706514584245
0.76,0.9267782426778243,3.51673640167364,1.8752963503600277,0.08823766911421171
0.77,0.9435146443514645,3.6332934847579197,1.906120007963276,0.05801864055591677
0.78,0.9656306037059175,3.798266586969516,1.9489142071855077,0.015247092442637666
0.79,0.9790794979079498,3.9094441123729826,1.9772314261039305,-0.013577211720659177
0.8,0.9982068141063957,4.057680812910938,2.0143685891392713,-0.05200961727172149
0.81,1.0143454871488344,4.19575612671847,2.048354492444721,-0.0878075434100094
0.8200000000000001,1.0260011954572623,4.297967722653915,2.0731540518383853,-0.11430730691497581
0.8300000000000001,1.043335325762104,4.451882845188284,2.1099485408863137,-0.15421192154964758
0.84,1.0576808129109385,4.569336521219366,2.1376006458689534,-0.18466340417377558
0.85,1.0672444710101614,4.664076509264794,2.1596473113137695,-0.20922605046346665
0.86,1.076210400478183,4.744172145845786,2.1781120599835506,-0.22999194701121795
0.87,1.088762701733413,4.857441721458458,2.203960462771158,-0.2593586439947919
0.88,1.0968320382546324,4.925881649731022,2.219432731517453,-0.27710263768671384
0.89,1.1031081888822474,4.98774656306037,2.2333263449528307,-0.2931419682291936
0.9,1.1090854751942618,5.03735803945009,2.2444059435516763,-0.3060044265386217
0.91,1.1111775254034668,5.057381948595338,2.2488623676417676,-0.3111959006755596
0.92,1.1144650328750747,5.086371787208607,2.2552986026707433,-0.3187119154708278
0.93,1.1156604901374776,5.098326359832636,2.2579473775605656,-0.3218113030152683
0.9400000000000001,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
0.9500000000000001,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
0.96,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
0.97,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
0.98,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
0.99,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
1.0,1.116258218768679,5.103108188882247,2.259006017894208,-0.32305105803304457
