Threshold,MAE,MSE,RMSE,R2
0.0,1.6763299462044232,7.542737597130903,2.7464044853464142,-0.9555585711647423
0.01,1.557979677226539,6.809922295277944,2.609582781840412,-0.7655661146905388
0.02,1.4919306634787806,6.423789599521817,2.534519599356418,-0.6654558970051103
0.03,1.440824865511058,6.121936640765092,2.474254764725147,-0.5871963615079874
0.04,1.399581589958159,5.872384937238493,2.423300422407113,-0.5224966465177916
0.05,1.3499701135684399,5.582785415421399,2.362791868832589,-0.44741398325372006
0.06,1.3144052600119547,5.3810520023909145,2.3197094650819774,-0.3951118184412865
0.07,1.282426778242678,5.200537955768081,2.2804688017528503,-0.3483110665202347
0.08,1.2471607890017933,4.99163179916318,2.2341960073286273,-0.2941492691811367
0.09,1.2115959354453079,4.7824267782426775,2.1868760317500113,-0.2399099871534276
0.1,1.1793185893604303,4.6084877465630605,2.1467388631510493,-0.19481389838181817
0.11,1.1476389719067543,4.431560071727436,2.10512709158555,-0.14894296272409857
0.12,1.1183502689778841,4.277346084877466,2.068174577949711,-0.1089608634008159
0.13,1.0905558876270174,4.138971906754334,2.03444633911891,-0.07308545257391708
0.14,1.0609683203825464,3.9766885833831442,1.994163630042215,-0.031011266658137027
0.15,1.0310818888224746,3.8057381948595337,1.9508301296780133,0.013309975227362325
0.16,1.0005977286312013,3.6335923490735205,1.9061984023373644,0.05794115586730575
0.17,0.9716078900179319,3.48326359832636,1.8663503417971556,0.09691595423864519
0.18,0.9479976090854751,3.3643156007172745,1.8342070768365482,0.12775486030582828
0.19,0.9169157202630006,3.2101016138673044,1.7916756441575312,0.16773695962911095
0.2,0.8930065750149432,3.098027495517035,1.7601214434001522,0.19679371785824074
0.21,0.8687985654512851,2.9760908547519427,1.7251350250783104,0.228407470811534
0.22,0.8472803347280334,2.876270173341303,1.6959570081052475,0.2542873568076123
0.23,0.8275552898983861,2.780035863717872,1.667343954832917,0.27923742654035844
0.24,0.8072325164375374,2.7005379557680813,1.6433313590898462,0.2998483537108878
0.25,0.7869097429766886,2.6022115959354455,1.6131371906739504,0.3253408162639111
0.26,0.7677824267782427,2.516138673042439,1.5862341167187266,0.34765640658388275
0.27,0.750448296473401,2.4405260011954573,1.5622182949880778,0.367260032802469
0.28,0.7375971309025703,2.3912133891213387,1.5463548716647608,0.3800450064232862
0.29,0.7268380155409444,2.349671249252839,1.5328637412545314,0.39081537814021694
0.3,0.7092050209205021,2.276748356246264,1.5088897760427247,0.40972164216130413
0.31,0.6933652121936641,2.219964136282128,1.4899544074508213,0.42444373299739657
0.32,0.6814106395696354,2.173042438732815,1.474124295550689,0.4366088291093255
0.33,0.6715481171548117,2.1377764494919305,1.4621136923960225,0.4457520223654251
0.34,0.6610878661087866,2.1001195457262405,1.449178921226168,0.4555150931304127
0.35000000000000003,0.6509264793783622,2.066945606694561,1.4376875900885284,0.46411589356623506
0.36,0.6377764494919307,2.0068738792588166,1.4166417610881081,0.4796903159770487
0.37,0.6317991631799164,1.9925283921099821,1.4115694783148232,0.48340958103037734
0.38,0.6228332337118948,1.9760908547519427,1.4057349873827367,0.487671238903983
0.39,0.6213389121338913,1.9784817692767485,1.4065851446950335,0.48705136139509486
0.4,0.6216377764494919,1.972504482964734,1.4044587864956144,0.4886010551673151
0.41000000000000003,0.6132695756126718,1.947101016138673,1.3953856155696436,0.4951872536992512
0.42,0.6090854751942618,1.9384339509862523,1.3922765353859312,0.4974343096689706
0.43,0.6081888822474597,1.9384339509862523,1.3922765353859312,0.4974343096689706
0.44,0.6078900179318589,1.9384339509862523,1.3922765353859312,0.4974343096689706
0.45,0.6084877465630604,1.9473998804542738,1.3954927016843455,0.4951097690106403
0.46,0.6078900179318589,1.951285116557083,1.396884074129662,0.49410246805869706
0.47000000000000003,0.6102809324566647,1.9629408248655111,1.4010499009191326,0.4910805652028676
0.48,0.6099820681410639,1.9632396891811117,1.4011565541298772,0.49100308051425656
0.49,0.6129707112970711,1.9823670053795577,1.407965555466311,0.48604406044315174
0.5,0.6123729826658697,1.9922295277943813,1.4114636119271304,0.48348706571898836
0.51,0.6180514046622834,2.01673640167364,1.4201184463535568,0.4771333212528852
0.52,0.618350268977884,2.022115959354453,1.422011237422002,0.475738596857887
0.53,0.6195457262402869,2.033771667662881,1.4261036665203835,0.4727166940020575
0.54,0.6267184698147041,2.061267184698147,1.4357113862814306,0.4655881026498443
0.55,0.6303048416019127,2.082486551105798,1.443082309192999,0.46008668975846245
0.56,0.6356843992827257,2.1135684399282724,1.453811693421219,0.4520282821429171
0.5700000000000001,0.6398684997011357,2.1413628212791394,1.4633396124205547,0.4448222061020929
0.58,0.6464435146443515,2.1790197250448298,1.4761503057090188,0.4350591353371053
0.59,0.6509264793783622,2.211595935445308,1.4871435490379898,0.42661330427850486
0.6,0.6589958158995816,2.2534369396294083,1.5011452093749653,0.4157654478729631
0.61,0.6661685594739988,2.28750747160789,1.5124508162607768,0.4069321933713076
0.62,0.6796174536760311,2.3460848774656307,1.5316934672008073,0.39174519440354905
0.63,0.6933652121936641,2.40406455469217,1.5505046129219255,0.37671316481301265
