Threshold,MAE,MSE,RMSE,R2
0.0,0.8700186219739292,3.4472998137802606,1.8566905541258782,0.1171138980821308
0.01,0.7783985102420856,2.9355679702048416,1.7133499263737229,0.24817326541522844
0.02,0.7560521415270018,2.823463687150838,1.6803165437353873,0.2768842330769915
0.03,0.7363128491620111,2.7303538175046556,1.6523782307645716,0.30073055173294083
0.04,0.7191806331471136,2.641340782122905,1.6252202257303179,0.3235276323680285
0.05,0.7050279329608938,2.5605214152700184,1.600162933975793,0.34422623696139254
0.06,0.6983240223463687,2.521042830540037,1.5877792134109947,0.3543370760715151
0.07,0.6871508379888268,2.456238361266294,1.5672390887373548,0.3709341138560558
0.08,0.6815642458100558,2.4227188081936686,1.556508531359102,0.37951878857219756
0.09,0.6733705772811918,2.3739292364990687,1.540756060023477,0.392014259547915
0.1,0.6700186219739293,2.340409683426443,1.5298397574342364,0.4005989342640568
0.11,0.6618249534450652,2.2986964618249535,1.5161452640907973,0.4112820850219221
0.12,0.6528864059590317,2.2506517690875234,1.5002172406313439,0.423586785448392
0.13,0.6432029795158287,2.1828677839851025,1.4774531410454623,0.4409469054299231
0.14,0.6309124767225326,2.112849162011173,1.4535642957953987,0.45887933705919703
0.15,0.623463687150838,2.0737430167597766,1.4400496577409323,0.46889479089469577
0.16,0.6160148975791434,2.0324022346368715,1.4256234547161715,0.47948255637793735
0.17,0.6141527001862197,2.014897579143389,1.41947087999134,0.4839656642852558
0.18,0.6089385474860335,1.9895716945996276,1.410521780973136,0.490451862959674
0.19,0.6048417132216015,1.9761638733705773,1.4057609588299773,0.4938857328461307
0.2,0.5981378026070764,1.946368715083799,1.395123189931197,0.5015165548160345
0.21,0.5925512104283054,1.9154562383612663,1.3840000861131716,0.5094335326098097
0.22,0.5906890130353818,1.8983240223463687,1.3777968000929486,0.5138212552425043
0.23,0.5895716945996275,1.8845437616387337,1.3727868595083266,0.5173505104035849
0.24,0.5895716945996275,1.884171322160149,1.3726512019301003,0.5174458956782086
0.25,0.5854748603351956,1.866294227188082,1.3661237964357704,0.522024388860151
0.26,0.5832402234636872,1.84804469273743,1.3594280756029096,0.5266982673167171
0.27,0.5783985102420857,1.837243947858473,1.355449721626912,0.5294644402808072
0.28,0.5772811918063314,1.835754189944134,1.3549000664049486,0.5298459813793024
